,date,team,against,home,goalie,dec,SA,SV,TOI
173,2016-11-08,ARI,COL,@,Louis Domingue,W,27,25,59:54
174,2016-11-11,COL,WPG,h,Semyon Varlamov,W,18,16,61:01
175,2016-11-11,WPG,COL,@,Michael Hutchinson,O,28,25,61:23
176,2016-11-13,COL,BOS,h,Semyon Varlamov,L,45,44,59:21
177,2016-11-13,BOS,COL,@,Tuukka Rask,W,21,21,60:00
178,2016-11-15,COL,LAK,h,Semyon Varlamov,W,33,32,60:00
179,2016-11-15,LAK,COL,@,Peter Budaj,L,29,26,59:45
180,2016-11-23,COL,EDM,h,Semyon Varlamov,L,40,35,57:59
181,2016-11-23,EDM,COL,@,Cam Talbot,W,28,25,59:16
182,2016-11-26,COL,VAN,h,Calvin Pickard,O,31,29,65:00
183,2016-11-26,VAN,COL,@,Jacob Markstrom,W,35,33,64:29
184,2016-11-29,COL,NSH,h,Calvin Pickard,L,33,28,58:05
185,2016-11-29,NSH,COL,@,Pekka Rinne,W,40,37,60:00
186,2016-12-01,COL,CBJ,h,Semyon Varlamov,L,37,34,57:45
187,2016-12-01,CBJ,COL,@,Sergei Bobrovsky,W,20,18,60:00
188,2016-12-03,COL,DAL,h,Semyon Varlamov,L,32,30,58:49
189,2016-12-03,DAL,COL,@,Kari Lehtonen,W,23,23,59:58
190,2016-12-14,COL,PHI,h,Calvin Pickard,L,25,21,58:32
191,2016-12-14,PHI,COL,@,Steve Mason,W,29,26,60:00
192,2016-12-16,COL,FLA,h,Calvin Pickard,L,23,20,57:41
193,2016-12-16,FLA,COL,@,James Reimer,W,31,30,60:00
194,2016-12-22,COL,TOR,h,Calvin Pickard,,13,12,31:18
195,2016-12-22,TOR,COL,@,Frederik Andersen,W,38,38,60:00
196,2016-12-27,COL,CGY,h,Calvin Pickard,L,31,25,59:58
197,2016-12-27,CGY,COL,@,Brian Elliott,W,28,25,60:00
198,2016-12-31,COL,NYR,h,Calvin Pickard,L,37,31,60:00
199,2016-12-31,NYR,COL,@,Henrik Lundqvist,W,27,25,59:47
200,2017-01-06,COL,NYI,h,Calvin Pickard,W,36,35,64:43
201,2017-01-06,NYI,COL,@,Thomas Greiss,O,39,37,64:31
202,2017-01-12,COL,ANA,h,Semyon Varlamov,L,31,28,58:12
203,2017-01-12,ANA,COL,@,John Gibson,W,34,33,59:34
204,2017-01-14,COL,NSH,h,Semyon Varlamov,L,32,29,57:41
205,2017-01-14,NSH,COL,@,Pekka Rinne,W,30,28,60:00
206,2017-01-17,COL,CHI,h,Semyon Varlamov,L,26,21,59:40
207,2017-01-17,CHI,COL,@,Corey Crawford,W,23,19,60:00
208,2017-01-23,COL,SJS,h,Spencer Martin,L,26,21,58:08
209,2017-01-23,SJS,COL,@,Martin Jones,W,28,26,60:00
210,2017-01-25,COL,VAN,h,Calvin Pickard,L,41,38,58:36
211,2017-01-25,VAN,COL,@,Jacob Markstrom,W,32,30,60:00
212,2017-02-04,COL,WPG,h,Calvin Pickard,W,25,23,60:00
213,2017-02-04,WPG,COL,@,Ondrej Pavelec,L,27,23,57:57
214,2017-02-07,COL,MTL,h,Calvin Pickard,W,27,27,60:00
215,2017-02-07,MTL,COL,@,Carey Price,L,26,22,59:54
216,2017-02-09,COL,PIT,h,Calvin Pickard,L,29,26,58:02
217,2017-02-09,PIT,COL,@,Matt Murray,W,28,27,60:00
218,2017-02-19,COL,TBL,h,Calvin Pickard,O,40,37,61:26
219,2017-02-19,TBL,COL,@,Ben Bishop,W,29,27,62:27
220,2017-02-21,COL,LAK,h,Calvin Pickard,L,32,30,57:39
221,2017-02-21,LAK,COL,@,Peter Budaj,W,25,24,60:00
222,2017-02-25,COL,BUF,h,Jeremy Smith,W,37,34,60:00
223,2017-02-25,BUF,COL,@,Robin Lehner,L,29,25,58:24
224,2017-03-05,COL,STL,h,Jeremy Smith,L,25,22,59:20
225,2017-03-05,STL,COL,@,Jake Allen,W,27,27,60:00
226,2017-03-07,COL,CAR,h,Calvin Pickard,W,26,25,60:00
227,2017-03-07,CAR,COL,@,Eddie Lack,L,24,22,58:46
228,2017-03-09,COL,NJD,h,Calvin Pickard,W,27,25,60:00
229,2017-03-09,NJD,COL,@,Cory Schneider,L,22,19,59:06
230,2017-03-11,COL,OTT,h,Calvin Pickard,L,31,27,59:26
231,2017-03-11,OTT,COL,@,Craig Anderson,W,16,14,60:00
232,2017-03-15,COL,DET,h,Calvin Pickard,W,28,27,59:38
233,2017-03-15,DET,COL,@,Jimmy Howard,L,29,26,57:17
234,2017-03-21,COL,STL,h,Calvin Pickard,L,28,25,58:26
235,2017-03-21,STL,COL,@,Jake Allen,W,28,26,60:00
236,2017-03-23,COL,EDM,h,Jeremy Smith,L,29,23,59:42
237,2017-03-23,EDM,COL,@,Cam Talbot,,15,11,40:00
238,2017-03-29,COL,WSH,h,Calvin Pickard,L,34,30,58:30
239,2017-03-29,WSH,COL,@,Philipp Grubauer,W,35,32,59:57
240,2017-03-31,COL,STL,h,Calvin Pickard,W,28,27,65:00
241,2017-03-31,STL,COL,@,Jake Allen,O,32,31,65:00
242,2017-04-04,COL,CHI,h,Calvin Pickard,W,27,24,61:57
243,2017-04-04,CHI,COL,@,Scott Darling,O,51,47,61:56
244,2017-04-06,COL,MIN,h,Calvin Pickard,L,28,24,58:26
245,2017-04-06,MIN,COL,@,Devan Dubnyk,W,33,30,60:00
246,2016-10-13,CBJ,BOS,h,Sergei Bobrovsky,L,36,31,58:13
247,2016-10-13,BOS,CBJ,@,Tuukka Rask,W,31,28,59:22
248,2016-10-15,CBJ,SJS,h,Sergei Bobrovsky,L,37,35,58:52
249,2016-10-15,SJS,CBJ,@,Martin Jones,W,28,26,60:00
250,2016-10-21,CBJ,CHI,h,Sergei Bobrovsky,W,34,32,59:58
251,2016-10-21,CHI,CBJ,@,Corey Crawford,L,28,25,57:15
252,2016-11-01,CBJ,DAL,h,Sergei Bobrovsky,W,38,36,59:27
253,2016-11-01,DAL,CBJ,@,Antti Niemi,O,28,25,60:46
254,2016-11-04,CBJ,MTL,h,Sergei Bobrovsky,W,30,30,60:00
255,2016-11-04,MTL,CBJ,@,Al Montoya,L,40,30,60:00
256,2016-11-09,CBJ,ANA,h,Sergei Bobrovsky,W,32,30,61:21
