,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
1115,2/3/18,ARI,LAK,@,Scott Wedgewood,L,35,29,59:44:00,,,,
2427,2/6/18,ARI,WPG,@,Antti Raanta,L,23,19,57:43:00,,,,
1201,2/8/18,ARI,MIN,@,Antti Raanta,W,28,25,62:47:00,,,,
50,2/10/18,ARI,PHI,h,Antti Raanta,O,43,40,65:00:00,,,,
52,2/12/18,ARI,CHI,h,Antti Raanta,W,38,37,59:44:00,,,,
1939,2/13/18,ARI,SJS,@,Scott Wedgewood,W,29,28,40:28:00,,,,
54,2/15/18,ARI,MTL,h,Antti Raanta,W,36,34,60:00:00,,,,
56,2/17/18,ARI,EDM,h,Antti Raanta,W,40,40,59:34:00,,,,
58,2/22/18,ARI,CGY,h,Antti Raanta,L,38,33,59:50:00,,,,
60,2/24/18,ARI,ANA,h,Antti Raanta,W,26,26,60:00:00,,,,
62,2/25/18,ARI,VAN,h,Darcy Kuemper,L,27,24,58:21:00,,,,
64,3/1/18,ARI,MIN,h,Antti Raanta,W,35,32,60:00:00,,,,
66,3/3/18,ARI,OTT,h,Antti Raanta,W,24,23,59:49:00,,,,
967,3/5/18,ARI,EDM,@,Darcy Kuemper,O,36,32,60:50:00,,,,
2199,3/7/18,ARI,VAN,@,Darcy Kuemper,W,17,16,59:58:00,,,,
231,3/10/18,ARI,COL,@,Darcy Kuemper,L,31,26,60:00:00,,,,
68,3/11/18,ARI,VAN,h,Darcy Kuemper,W,27,27,60:00:00,,,,
70,3/13/18,ARI,LAK,h,Adin Hill,W,37,34,65:00:00,,,,
72,3/15/18,ARI,NSH,h,Darcy Kuemper,L,29,26,58:25:00,,,,
74,3/17/18,ARI,MIN,h,Antti Raanta,L,32,30,58:24:00,,,,
76,3/19/18,ARI,CGY,h,Antti Raanta,W,44,42,60:00:00,,,,
485,3/21/18,ARI,BUF,@,Antti Raanta,W,30,29,60:00:00,,,,
649,3/22/18,ARI,CAR,@,Darcy Kuemper,L,30,24,58:11:00,,,,
1057,3/24/18,ARI,FLA,@,Darcy Kuemper,L,46,43,59:31:00,,,,
2125,3/26/18,ARI,TBL,@,Antti Raanta,W,20,19,60:00:00,,,,
2291,3/28/18,ARI,VEG,@,Antti Raanta,W,29,27,60:00:00,,,,
1141,3/29/18,ARI,LAK,@,Darcy Kuemper,L,34,31,58:51:00,,,,
78,3/31/18,ARI,STL,h,Antti Raanta,W,34,34,60:00:00,,,,
571,4/3/18,ARI,CGY,@,Antti Raanta,W,43,42,59:30:00,,,,
2213,4/5/18,ARI,VAN,@,Darcy Kuemper,O,40,36,62:33:00,,,,
80,4/7/18,ARI,ANA,h,Antti Raanta,L,26,24,58:04:00,,,,
328,10/5/17,BOS,NSH,h,Tuukka Rask,W,29,26,59:54:00,,,,
330,10/9/17,BOS,COL,h,Tuukka Rask,L,22,19,59:42:00,,,,
165,10/11/17,BOS,COL,@,Tuukka Rask,L,26,22,40:00:00,,,,
5,10/14/17,BOS,ARI,@,Anton Khudobin,W,31,29,59:36:00,,,,
2219,10/15/17,BOS,VEG,@,Tuukka Rask,L,25,23,58:51:00,,,,
332,10/19/17,BOS,VAN,h,Anton Khudobin,W,29,26,59:56:00,,,,
334,10/21/17,BOS,BUF,h,Anton Khudobin,O,42,37,62:44:00,,,,
336,10/26/17,BOS,SJS,h,Anton Khudobin,W,37,36,60:00:00,,,,
338,10/28/17,BOS,LAK,h,Tuukka Rask,O,30,28,64:59:00,,,,
259,10/30/17,BOS,CBJ,@,Tuukka Rask,O,32,29,65:00:00,,,,
340,11/2/17,BOS,VEG,h,Tuukka Rask,W,29,28,60:00:00,,,,
342,11/4/17,BOS,WSH,h,Tuukka Rask,L,27,24,58:30:00,,,,
344,11/6/17,BOS,MIN,h,Tuukka Rask,W,27,24,59:59:00,,,,
1581,11/8/17,BOS,NYR,@,Tuukka Rask,L,32,29,58:41:00,,,,
346,11/11/17,BOS,TOR,h,Tuukka Rask,L,24,21,59:05:00,,,,
105,11/15/17,BOS,ANA,@,Tuukka Rask,L,27,23,60:00:00,,,,
1087,11/16/17,BOS,LAK,@,Anton Khudobin,W,28,27,59:56:00,,,,
1909,11/18/17,BOS,SJS,@,Anton Khudobin,W,37,36,60:00:00,,,,
1413,11/22/17,BOS,NJD,@,Anton Khudobin,W,42,40,65:00:00,,,,
348,11/24/17,BOS,PIT,h,Anton Khudobin,W,20,17,60:00:00,,,,
350,11/26/17,BOS,EDM,h,Tuukka Rask,L,35,32,58:35:00,,,,
352,11/29/17,BOS,TBL,h,Tuukka Rask,W,21,19,60:00:00,,,,
1749,12/2/17,BOS,PHI,@,Tuukka Rask,W,28,28,60:00:00,,,,
1339,12/4/17,BOS,NSH,@,Tuukka Rask,,11,10,32:40:00,,,,
354,12/7/17,BOS,ARI,h,Tuukka Rask,W,21,20,59:56:00,,,,
356,12/9/17,BOS,NYI,h,Tuukka Rask,W,31,30,60:00:00,,,,
853,12/13/17,BOS,DET,@,Tuukka Rask,W,33,31,59:29:00,,,,
358,12/14/17,BOS,WSH,h,Anton Khudobin,L,21,17,58:53:00,,,,
360,12/16/17,BOS,NYR,h,Tuukka Rask,O,28,25,61:44:00,,,,
362,12/18/17,BOS,CBJ,h,Tuukka Rask,W,18,16,60:00:00,,,,
441,12/19/17,BOS,BUF,@,Anton Khudobin,W,36,36,59:58:00,,,,
364,12/21/17,BOS,WPG,h,Tuukka Rask,W,38,37,65:00:00,,,,
366,12/23/17,BOS,DET,h,Tuukka Rask,W,31,30,60:00:00,,,,
368,12/27/17,BOS,OTT,h,Tuukka Rask,W,26,25,60:00:00,,,,
2335,12/28/17,BOS,WSH,@,Anton Khudobin,O,34,31,65:00:00,,,,
1677,12/30/17,BOS,OTT,@,Tuukka Rask,W,25,25,59:52:00,,,,
1513,1/2/18,BOS,NYI,@,Tuukka Rask,W,26,25,60:00:00,,,,
370,1/6/18,BOS,CAR,h,Anton Khudobin,W,28,27,59:57:00,,,,
1845,1/7/18,BOS,PIT,@,Tuukka Rask,O,35,29,62:51:00,,,,
1275,1/13/18,BOS,MTL,@,Tuukka Rask,W,30,27,64:43:00,,,,
372,1/15/18,BOS,DAL,h,Anton Khudobin,O,32,29,62:54:00,,,,
374,1/17/18,BOS,MTL,h,Tuukka Rask,W,22,21,60:00:00,,,,
1521,1/18/18,BOS,NYI,@,Anton Khudobin,W,24,22,59:59:00,,,,
1279,1/20/18,BOS,MTL,@,Tuukka Rask,W,25,24,60:00:00,,,,
376,1/23/18,BOS,NJD,h,Tuukka Rask,W,39,37,60:00:00,,,,
1689,1/25/18,BOS,OTT,@,Tuukka Rask,W,23,21,59:55:00,,,,
378,1/30/18,BOS,ANA,h,Anton Khudobin,L,26,24,59:00:00,,,,
380,2/1/18,BOS,STL,h,Tuukka Rask,W,33,32,60:00:00,,,,
382,2/3/18,BOS,TOR,h,Tuukka Rask,W,24,23,60:00:00,,,,
877,2/6/18,BOS,DET,@,Tuukka Rask,W,28,26,60:00:00,,,,
1617,2/7/18,BOS,NYR,@,Anton Khudobin,W,22,21,59:35:00,,,,
384,2/10/18,BOS,BUF,h,Tuukka Rask,L,27,24,59:05:00,,,,
1449,2/11/18,BOS,NJD,@,Anton Khudobin,W,38,35,60:00:00,,,,
386,2/13/18,BOS,CGY,h,Tuukka Rask,W,30,28,60:00:00,,,,
2189,2/17/18,BOS,VAN,@,Anton Khudobin,,15,13,40:00:00,,,,
553,2/19/18,BOS,CGY,@,Tuukka Rask,W,29,28,63:36:00,,,,
959,2/20/18,BOS,EDM,@,Anton Khudobin,W,20,18,59:56:00,,,,
471,2/25/18,BOS,BUF,@,Anton Khudobin,L,24,20,58:08:00,,,,
388,2/27/18,BOS,CAR,h,Tuukka Rask,W,32,29,61:08:00,,,,
390,3/1/18,BOS,PIT,h,Tuukka Rask,W,26,22,60:00:00,,,,
392,3/3/18,BOS,MTL,h,Anton Khudobin,W,28,27,61:55:00,,,,
394,3/6/18,BOS,DET,h,Anton Khudobin,W,35,30,60:34:00,,,,
396,3/8/18,BOS,PHI,h,Tuukka Rask,W,33,31,60:00:00,,,,
398,3/10/18,BOS,CHI,h,Tuukka Rask,W,27,23,59:51:00,,,,
725,3/11/18,BOS,CHI,@,Anton Khudobin,L,39,36,59:20:00,,,,
643,3/13/18,BOS,CAR,@,Tuukka Rask,W,33,29,59:57:00,,,,
1053,3/15/18,BOS,FLA,@,Anton Khudobin,L,28,25,56:55:00,,,,
2119,3/17/18,BOS,TBL,@,Tuukka Rask,W,23,23,60:00:00,,,,
400,3/19/18,BOS,CBJ,h,Tuukka Rask,O,25,20,62:55:00,,,,
2041,3/21/18,BOS,STL,@,Anton Khudobin,O,20,18,60:30:00,,,,
813,3/23/18,BOS,DAL,@,Tuukka Rask,W,42,40,60:00:00,,,,
1225,3/25/18,BOS,MIN,@,Tuukka Rask,W,25,24,60:28:00,,,,
2455,3/27/18,BOS,WPG,@,Anton Khudobin,O,32,28,64:29:00,,,,
402,3/29/18,BOS,TBL,h,Tuukka Rask,W,28,26,60:00:00,,,,
404,3/31/18,BOS,FLA,h,Tuukka Rask,W,31,30,60:00:00,,,,
1799,4/1/18,BOS,PHI,@,Anton Khudobin,O,24,20,62:00:00,,,,
2129,4/3/18,BOS,TBL,@,Tuukka Rask,L,36,32,60:00:00,,,,
1063,4/5/18,BOS,FLA,@,Tuukka Rask,L,35,32,59:02:00,,,,
406,4/7/18,BOS,OTT,h,Anton Khudobin,W,28,26,59:51:00,,,,
408,4/8/18,BOS,FLA,h,Tuukka Rask,L,26,22,58:10:00,,,,
410,10/5/17,BUF,MTL,h,Robin Lehner,O,40,38,64:49:00,,,,
1477,10/7/17,BUF,NYI,@,Chad Johnson,,16,15,31:01:00,,,,
412,10/9/17,BUF,NJD,h,Chad Johnson,L,22,16,40:00:00,,,,
1891,10/12/17,BUF,SJS,@,Robin Lehner,L,26,23,58:26:00,,,,
1071,10/14/17,BUF,LAK,@,Robin Lehner,L,29,26,59:00:00,,,,
91,10/15/17,BUF,ANA,@,Chad Johnson,W,26,25,59:53:00,,,,
2221,10/17/17,BUF,VEG,@,Chad Johnson,O,31,26,60:27:00,,,,
414,10/20/17,BUF,VAN,h,Chad Johnson,L,40,37,58:33:00,,,,
335,10/21/17,BUF,BOS,@,Robin Lehner,W,31,27,62:59:00,,,,
416,10/24/17,BUF,DET,h,Robin Lehner,W,32,32,59:58:00,,,,
255,10/25/17,BUF,CBJ,@,Chad Johnson,L,38,33,60:00:00,,,,
418,10/28/17,BUF,SJS,h,Robin Lehner,L,31,28,57:31:00,,,,
11,11/2/17,BUF,ARI,@,Robin Lehner,W,29,25,60:00:00,,,,
749,11/4/17,BUF,DAL,@,Chad Johnson,,15,13,49:33:00,,,,
420,11/7/17,BUF,WSH,h,Robin Lehner,W,25,24,60:00:00,,,,
422,11/10/17,BUF,FLA,h,Robin Lehner,L,29,27,58:51:00,,,,
1245,11/11/17,BUF,MTL,@,Chad Johnson,O,29,27,63:08:00,,,,
1817,11/14/17,BUF,PIT,@,Robin Lehner,O,45,40,60:16:00,,,,
835,11/17/17,BUF,DET,@,Robin Lehner,L,33,30,60:00:00,,,,
424,11/18/17,BUF,CAR,h,Chad Johnson,L,32,30,58:57:00,,,,
426,11/20/17,BUF,CBJ,h,Robin Lehner,L,29,26,58:47:00,,,,
428,11/22/17,BUF,MIN,h,Robin Lehner,L,19,17,38:48:00,,,,
430,11/24/17,BUF,EDM,h,Robin Lehner,W,30,29,60:00:00,,,,
1253,11/25/17,BUF,MTL,@,Robin Lehner,L,26,23,54:38:00,,,,
432,11/28/17,BUF,TBL,h,Robin Lehner,L,26,24,55:41:00,,,,
434,12/1/17,BUF,PIT,h,Robin Lehner,L,25,21,60:00:00,,,,
1827,12/2/17,BUF,PIT,@,Chad Johnson,L,28,24,59:03:00,,,,
191,12/5/17,BUF,COL,@,Robin Lehner,W,37,35,60:00:00,,,,
683,12/8/17,BUF,CHI,@,Robin Lehner,O,51,48,64:52:00,,,,
1999,12/10/17,BUF,STL,@,Robin Lehner,O,45,42,64:06:00,,,,
436,12/12/17,BUF,OTT,h,Robin Lehner,W,26,24,59:44:00,,,,
1753,12/14/17,BUF,PHI,@,Robin Lehner,L,27,25,57:58:00,,,,
438,12/15/17,BUF,CAR,h,Chad Johnson,O,34,29,62:15:00,,,,
440,12/19/17,BUF,BOS,h,Robin Lehner,L,31,30,58:26:00,,,,
442,12/22/17,BUF,PHI,h,Robin Lehner,W,35,33,60:00:00,,,,
603,12/23/17,BUF,CAR,@,Chad Johnson,L,38,34,58:45:00,,,,
1511,12/27/17,BUF,NYI,@,Robin Lehner,O,34,31,60:57:00,,,,
1433,12/29/17,BUF,NJD,@,Robin Lehner,W,38,35,62:32:00,,,,
444,1/1/18,BUF,NYR,h,Robin Lehner,O,42,39,62:43:00,,,,
