,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
992,10/28/17,FLA,DET,h,James Reimer,O,38,36,64:58:00,,,,
994,10/30/17,FLA,TBL,h,James Reimer,,19,14,29:38:00,,,,
996,11/2/17,FLA,CBJ,h,Antti Niemi,,21,18,30:49:00,,,,
998,11/4/17,FLA,NYR,h,Roberto Luongo,O,44,39,60:58:00,,,,
585,11/7/17,FLA,CAR,@,Roberto Luongo,L,47,45,58:32:00,,,,
423,11/10/17,FLA,BUF,@,Roberto Luongo,W,25,24,60:00:00,,,,
1411,11/11/17,FLA,NJD,@,James Reimer,L,21,19,57:49:00,,,,
1000,11/14/17,FLA,DAL,h,Roberto Luongo,W,43,40,64:56:00,,,,
1907,11/16/17,FLA,SJS,@,Roberto Luongo,W,35,35,60:00:00,,,,
1089,11/18/17,FLA,LAK,@,James Reimer,L,19,16,58:20:00,,,,
107,11/19/17,FLA,ANA,@,Roberto Luongo,L,28,25,57:30:00,,,,
1002,11/22/17,FLA,TOR,h,Roberto Luongo,W,44,43,65:00:00,,,,
1004,11/25/17,FLA,CHI,h,Roberto Luongo,L,39,35,60:00:00,,,,
1417,11/27/17,FLA,NJD,@,Roberto Luongo,W,25,23,60:00:00,,,,
1591,11/28/17,FLA,NYR,@,James Reimer,W,37,33,60:00:00,,,,
1006,12/1/17,FLA,SJS,h,Roberto Luongo,L,32,30,58:24:00,,,,
599,12/2/17,FLA,CAR,@,James Reimer,O,47,44,64:53:00,,,,
1008,12/4/17,FLA,NYI,h,James Reimer,O,19,16,42:29:00,,,,
1010,12/7/17,FLA,WPG,h,James Reimer,W,39,35,60:00:00,,,,
1012,12/9/17,FLA,COL,h,James Reimer,L,28,23,56:39:00,,,,
851,12/11/17,FLA,DET,@,James Reimer,W,35,34,62:02:00,,,,
687,12/12/17,FLA,CHI,@,James Reimer,O,28,25,62:21:00,,,,
193,12/14/17,FLA,COL,@,James Reimer,L,30,28,58:28:00,,,,
2245,12/17/17,FLA,VEG,@,James Reimer,L,38,35,59:23:00,,,,
29,12/19/17,FLA,ARI,@,James Reimer,W,41,39,60:00:00,,,,
1014,12/22/17,FLA,MIN,h,James Reimer,W,31,29,60:00:00,,,,
1016,12/23/17,FLA,OTT,h,James Reimer,W,38,38,59:59:00,,,,
1018,12/28/17,FLA,PHI,h,James Reimer,W,31,29,60:00:00,,,,
1020,12/30/17,FLA,MTL,h,James Reimer,W,38,38,59:50:00,,,,
1185,1/2/18,FLA,MIN,@,James Reimer,L,26,23,36:34:00,,,,
863,1/5/18,FLA,DET,@,James Reimer,L,19,15,57:51:00,,,,
289,1/7/18,FLA,CBJ,@,James Reimer,O,48,46,64:21:00,,,,
2015,1/9/18,FLA,STL,@,James Reimer,W,30,26,60:00:00,,,,
1022,1/12/18,FLA,CGY,h,James Reimer,L,28,25,58:48:00,,,,
1024,1/19/18,FLA,VEG,h,James Reimer,W,36,33,60:40:00,,,,
1355,1/20/18,FLA,NSH,@,Harri Sateri,L,29,25,57:45:00,,,,
785,1/23/18,FLA,DAL,@,Harri Sateri,L,36,30,56:12:00,,,,
1026,1/25/18,FLA,WSH,h,Harri Sateri,L,46,42,58:44:00,,,,
1523,1/30/18,FLA,NYI,@,Harri Sateri,W,33,32,60:00:00,,,,
455,2/1/18,FLA,BUF,@,Harri Sateri,W,32,30,60:00:00,,,,
1028,2/3/18,FLA,DET,h,Harri Sateri,W,28,26,60:00:00,,,,
1030,2/6/18,FLA,VAN,h,Harri Sateri,W,27,26,60:00:00,,,,
1032,2/9/18,FLA,LAK,h,Harri Sateri,L,26,23,56:48:00,,,,
957,2/12/18,FLA,EDM,@,James Reimer,W,32,27,59:40:00,,,,
2187,2/14/18,FLA,VAN,@,James Reimer,W,37,34,60:00:00,,,,
551,2/17/18,FLA,CGY,@,Roberto Luongo,W,33,30,60:00:00,,,,
2437,2/18/18,FLA,WPG,@,James Reimer,L,34,27,60:00:00,,,,
1034,2/22/18,FLA,WSH,h,Roberto Luongo,W,35,33,60:00:00,,,,
1036,2/24/18,FLA,PIT,h,Roberto Luongo,W,37,32,60:00:00,,,,
1038,2/27/18,FLA,TOR,h,Roberto Luongo,W,39,37,63:47:00,,,,
1040,3/1/18,FLA,NJD,h,Roberto Luongo,W,31,29,60:00:00,,,,
1042,3/2/18,FLA,BUF,h,James Reimer,W,25,24,59:25:00,,,,
1044,3/4/18,FLA,PHI,h,Roberto Luongo,W,40,39,59:52:00,,,,
2111,3/6/18,FLA,TBL,@,Roberto Luongo,O,33,28,62:49:00,,,,
1046,3/8/18,FLA,MTL,h,Roberto Luongo,W,40,40,60:00:00,,,,
1048,3/10/18,FLA,NYR,h,Roberto Luongo,W,37,34,65:00:00,,,,
1050,3/12/18,FLA,OTT,h,Roberto Luongo,L,25,20,58:17:00,,,,
1052,3/15/18,FLA,BOS,h,James Reimer,W,46,46,60:00:00,,,,
1054,3/17/18,FLA,EDM,h,Roberto Luongo,L,35,32,59:14:00,,,,
1303,3/19/18,FLA,MTL,@,Roberto Luongo,W,28,28,59:45:00,,,,
1711,3/20/18,FLA,OTT,@,James Reimer,W,35,33,59:58:00,,,,
321,3/22/18,FLA,CBJ,@,Roberto Luongo,L,32,29,59:36:00,,,,
1056,3/24/18,FLA,ARI,h,James Reimer,W,28,26,60:00:00,,,,
1551,3/26/18,FLA,NYI,@,James Reimer,W,32,32,60:00:00,,,,
1719,3/29/18,FLA,OTT,@,James Reimer,O,30,27,64:42:00,,,,
405,3/31/18,FLA,BOS,@,James Reimer,L,24,19,36:32:00,,,,
1058,4/2/18,FLA,CAR,h,Roberto Luongo,W,29,27,60:00:00,,,,
1060,4/3/18,FLA,NSH,h,Roberto Luongo,W,46,45,60:00:00,,,,
1062,4/5/18,FLA,BOS,h,Roberto Luongo,W,28,26,60:00:00,,,,
1064,4/7/18,FLA,BUF,h,James Reimer,W,41,38,59:57:00,,,,
409,4/8/18,FLA,BOS,@,James Reimer,W,35,33,51:53:00,,,,
1066,10/5/17,LAK,PHI,h,Jonathan Quick,W,35,35,59:59:00,,,,
1889,10/7/17,LAK,SJS,@,Jonathan Quick,W,25,24,60:00:00,,,,
1068,10/11/17,LAK,CGY,h,Jonathan Quick,O,37,33,61:02:00,,,,
1070,10/14/17,LAK,BUF,h,Jonathan Quick,W,25,23,60:00:00,,,,
1072,10/15/17,LAK,NYI,h,Darcy Kuemper,W,25,23,59:50:00,,,,
1074,10/18/17,LAK,MTL,h,Jonathan Quick,W,37,36,59:57:00,,,,
253,10/21/17,LAK,CBJ,@,Jonathan Quick,W,36,32,60:00:00,,,,
1651,10/24/17,LAK,OTT,@,Darcy Kuemper,W,30,28,64:43:00,,,,
1237,10/26/17,LAK,MTL,@,Jonathan Quick,W,40,40,60:00:00,,,,
339,10/28/17,LAK,BOS,@,Jonathan Quick,W,30,29,64:59:00,,,,
1977,10/30/17,LAK,STL,@,Jonathan Quick,L,29,26,58:37:00,,,,
1076,11/2/17,LAK,TOR,h,Jonathan Quick,W,36,33,60:00:00,,,,
1078,11/4/17,LAK,NSH,h,Darcy Kuemper,O,31,27,64:40:00,,,,
99,11/7/17,LAK,ANA,@,Jonathan Quick,W,36,33,63:31:00,,,,
1080,11/9/17,LAK,TBL,h,Jonathan Quick,L,43,38,59:15:00,,,,
1082,11/12/17,LAK,SJS,h,Jonathan Quick,L,33,31,58:53:00,,,,
1084,11/14/17,LAK,VAN,h,Jonathan Quick,L,27,24,58:29:00,,,,
1086,11/16/17,LAK,BOS,h,Jonathan Quick,L,30,28,58:12:00,,,,
1088,11/18/17,LAK,FLA,h,Darcy Kuemper,W,24,24,59:53:00,,,,
2231,11/19/17,LAK,VEG,@,Darcy Kuemper,,30,30,47:23:00,,,,
1090,11/22/17,LAK,WPG,h,Jonathan Quick,L,27,25,58:45:00,,,,
19,11/24/17,LAK,ARI,@,Darcy Kuemper,O,33,30,62:16:00,,,,
1092,11/25/17,LAK,ANA,h,Jonathan Quick,W,26,25,64:50:00,,,,
843,11/28/17,LAK,DET,@,Jonathan Quick,W,24,23,59:51:00,,,,
2321,11/30/17,LAK,WSH,@,Jonathan Quick,W,29,27,60:00:00,,,,
1995,12/1/17,LAK,STL,@,Darcy Kuemper,W,40,39,60:00:00,,,,
681,12/3/17,LAK,CHI,@,Jonathan Quick,W,25,24,60:00:00,,,,
1094,12/5/17,LAK,MIN,h,Jonathan Quick,W,21,19,60:00:00,,,,
1096,12/7/17,LAK,OTT,h,Darcy Kuemper,W,40,37,60:32:00,,,,
1098,12/9/17,LAK,CAR,h,Jonathan Quick,W,34,32,64:40:00,,,,
1421,12/12/17,LAK,NJD,@,Jonathan Quick,L,26,21,59:47:00,,,,
1599,12/15/17,LAK,NYR,@,Jonathan Quick,L,27,24,58:57:00,,,,
1503,12/16/17,LAK,NYI,@,Darcy Kuemper,O,33,29,60:42:00,,,,
1757,12/18/17,LAK,PHI,@,Jonathan Quick,W,37,36,60:00:00,,,,
1100,12/21/17,LAK,COL,h,Jonathan Quick,W,32,31,60:44:00,,,,
1923,12/23/17,LAK,SJS,@,Jonathan Quick,L,31,29,57:59:00,,,,
1102,12/28/17,LAK,VEG,h,Jonathan Quick,O,39,36,63:30:00,,,,
2173,12/30/17,LAK,VAN,@,Jonathan Quick,W,25,22,60:00:00,,,,
943,1/2/18,LAK,EDM,@,Jonathan Quick,W,32,32,60:00:00,,,,
535,1/4/18,LAK,CGY,@,Jonathan Quick,L,41,37,57:53:00,,,,
1104,1/6/18,LAK,NSH,h,Jonathan Quick,L,20,16,59:04:00,,,,
1106,1/13/18,LAK,ANA,h,Jonathan Quick,L,21,18,59:15:00,,,,
1108,1/15/18,LAK,SJS,h,Darcy Kuemper,L,32,29,57:11:00,,,,
1110,1/18/18,LAK,PIT,h,Jonathan Quick,L,31,28,59:34:00,,,,
127,1/19/18,LAK,ANA,@,Jonathan Quick,L,31,29,58:00:00,,,,
1112,1/21/18,LAK,NYR,h,Jonathan Quick,W,23,21,59:48:00,,,,
2177,1/23/18,LAK,VAN,@,Darcy Kuemper,,16,15,35:39:00,,,,
543,1/24/18,LAK,CGY,@,Darcy Kuemper,W,31,30,63:57:00,,,,
789,1/30/18,LAK,DAL,@,Darcy Kuemper,W,28,28,60:00:00,,,,
1361,2/1/18,LAK,NSH,@,Jonathan Quick,L,36,31,60:00:00,,,,
1114,2/3/18,LAK,ARI,h,Darcy Kuemper,W,27,27,60:00:00,,,,
1116,2/7/18,LAK,EDM,h,Darcy Kuemper,W,27,25,60:00:00,,,,
1033,2/9/18,LAK,FLA,@,Jonathan Quick,W,36,35,60:00:00,,,,
2099,2/10/18,LAK,TBL,@,Jonathan Quick,L,14,13,35:06:00,,,,
631,2/13/18,LAK,CAR,@,Darcy Kuemper,,21,18,38:43:00,,,,
1863,2/15/18,LAK,PIT,@,Jonathan Quick,L,38,36,58:38:00,,,,
467,2/17/18,LAK,BUF,@,Jonathan Quick,W,35,33,60:00:00,,,,
715,2/19/18,LAK,CHI,@,Jonathan Quick,W,28,27,60:00:00,,,,
2439,2/20/18,LAK,WPG,@,Darcy Kuemper,W,33,30,59:56:00,,,,
1118,2/22/18,LAK,DAL,h,Jonathan Quick,L,27,26,58:44:00,,,,
1120,2/24/18,LAK,EDM,h,Jonathan Quick,L,24,21,59:25:00,,,,
1122,2/26/18,LAK,VEG,h,Jonathan Quick,W,39,37,62:00:00,,,,
2277,2/27/18,LAK,VEG,@,Jack Campbell,W,42,41,60:00:00,,,,
1124,3/1/18,LAK,CBJ,h,Jonathan Quick,W,32,30,60:00:00,,,,
1126,3/3/18,LAK,CHI,h,Jonathan Quick,L,24,20,58:38:00,,,,
1128,3/8/18,LAK,WSH,h,Jonathan Quick,W,26,25,60:00:00,,,,
1130,3/10/18,LAK,STL,h,Jonathan Quick,L,29,25,40:00:00,,,,
1132,3/12/18,LAK,VAN,h,Jonathan Quick,W,35,35,60:00:00,,,,
71,3/13/18,LAK,ARI,@,Jack Campbell,O,29,26,65:00:00,,,,
1134,3/15/18,LAK,DET,h,Jonathan Quick,W,21,20,59:58:00,,,,
1136,3/17/18,LAK,NJD,h,Jonathan Quick,L,28,25,58:18:00,,,,
1221,3/19/18,LAK,MIN,@,Jonathan Quick,W,27,24,63:36:00,,,,
2449,3/20/18,LAK,WPG,@,Jack Campbell,O,38,36,61:37:00,,,,
237,3/22/18,LAK,COL,@,Jonathan Quick,W,30,29,60:00:00,,,,
975,3/24/18,LAK,EDM,@,Jonathan Quick,L,27,24,58:46:00,,,,
1138,3/26/18,LAK,CGY,h,Jonathan Quick,W,23,23,59:44:00,,,,
1140,3/29/18,LAK,ARI,h,Jack Campbell,W,22,20,60:00:00,,,,
157,3/30/18,LAK,ANA,@,Jonathan Quick,O,33,31,64:41:00,,,,
1142,4/2/18,LAK,COL,h,Jonathan Quick,W,28,27,60:00:00,,,,
1144,4/5/18,LAK,MIN,h,Jonathan Quick,W,27,23,59:49:00,,,,
1146,4/7/18,LAK,DAL,h,Jonathan Quick,L,18,14,58:35:00,,,,
821,10/5/17,MIN,DET,@,Devan Dubnyk,L,31,27,58:19:00,,,,
575,10/7/17,MIN,CAR,@,Alex Stalock,O,42,38,64:06:00,,,,
661,10/12/17,MIN,CHI,@,Devan Dubnyk,W,38,36,60:00:00,,,,
1148,10/14/17,MIN,CBJ,h,Devan Dubnyk,O,35,30,60:05:00,,,,
2385,10/20/17,MIN,WPG,@,Devan Dubnyk,L,30,26,58:26:00,,,,
499,10/21/17,MIN,CGY,@,Alex Stalock,W,37,35,59:55:00,,,,
1150,10/24/17,MIN,VAN,h,Devan Dubnyk,L,25,24,58:24:00,,,,
1152,10/26/17,MIN,NYI,h,Devan Dubnyk,W,33,29,60:00:00,,,,
1154,10/28/17,MIN,PIT,h,Devan Dubnyk,W,30,29,60:00:00,,,,
1156,10/31/17,MIN,WPG,h,Alex Stalock,L,19,17,57:37:00,,,,
1158,11/2/17,MIN,MTL,h,Devan Dubnyk,W,31,28,60:00:00,,,,
1160,11/4/17,MIN,CHI,h,Devan Dubnyk,L,34,33,58:29:00,,,,
345,11/6/17,MIN,BOS,@,Devan Dubnyk,L,24,20,40:00:00,,,,
1243,11/9/17,MIN,MTL,@,Devan Dubnyk,W,41,41,60:00:00,,,,
1739,11/11/17,MIN,PHI,@,Devan Dubnyk,W,32,32,60:00:00,,,,
1162,11/14/17,MIN,PHI,h,Devan Dubnyk,W,30,30,60:00:00,,,,
1164,11/16/17,MIN,NSH,h,Devan Dubnyk,W,30,26,59:46:00,,,,
2313,11/18/17,MIN,WSH,@,Alex Stalock,L,43,40,58:23:00,,,,
1166,11/20/17,MIN,NJD,h,Devan Dubnyk,O,25,21,59:56:00,,,,
429,11/22/17,MIN,BUF,@,Devan Dubnyk,W,34,30,60:00:00,,,,
1168,11/24/17,MIN,COL,h,Alex Stalock,W,30,28,64:23:00,,,,
1991,11/25/17,MIN,STL,@,Devan Dubnyk,L,40,34,60:00:00,,,,
2399,11/27/17,MIN,WPG,@,Alex Stalock,L,28,21,60:00:00,,,,
1170,11/30/17,MIN,VEG,h,Devan Dubnyk,W,31,29,60:00:00,,,,
1172,12/2/17,MIN,STL,h,Devan Dubnyk,W,42,41,60:39:00,,,,
1095,12/5/17,MIN,LAK,@,Devan Dubnyk,L,27,23,59:21:00,,,,
115,12/8/17,MIN,ANA,@,Devan Dubnyk,W,28,26,63:43:00,,,,
1919,12/10/17,MIN,SJS,@,Alex Stalock,W,34,31,63:26:00,,,,
1174,12/12/17,MIN,CGY,h,Alex Stalock,W,17,16,45:00:00,,,,
1176,12/14/17,MIN,TOR,h,Alex Stalock,W,28,28,59:55:00,,,,
1178,12/16/17,MIN,EDM,h,Alex Stalock,L,29,26,58:51:00,,,,
689,12/17/17,MIN,CHI,@,Alex Stalock,L,45,42,59:06:00,,,,
1673,12/19/17,MIN,OTT,@,Alex Stalock,W,32,28,60:00:00,,,,
1015,12/22/17,MIN,FLA,@,Alex Stalock,L,33,30,57:19:00,,,,
2085,12/23/17,MIN,TBL,@,Alex Stalock,L,30,28,59:27:00,,,,
1180,12/27/17,MIN,DAL,h,Alex Stalock,W,26,24,59:57:00,,,,
1182,12/29/17,MIN,NSH,h,Devan Dubnyk,W,43,41,59:41:00,,,,
1347,12/30/17,MIN,NSH,@,Alex Stalock,L,28,26,59:02:00,,,,
1184,1/2/18,MIN,FLA,h,Devan Dubnyk,W,26,25,60:00:00,,,,
1186,1/4/18,MIN,BUF,h,Devan Dubnyk,W,31,29,60:00:00,,,,
209,1/6/18,MIN,COL,@,Devan Dubnyk,L,32,26,47:17:00,,,,
1188,1/9/18,MIN,CGY,h,Alex Stalock,O,29,26,62:29:00,,,,
695,1/10/18,MIN,CHI,@,Devan Dubnyk,W,35,34,60:00:00,,,,
1190,1/13/18,MIN,WPG,h,Devan Dubnyk,W,33,32,60:00:00,,,,
1192,1/14/18,MIN,VAN,h,Devan Dubnyk,O,25,22,62:21:00,,,,
1194,1/20/18,MIN,TBL,h,Devan Dubnyk,W,23,21,60:00:00,,,,
1196,1/22/18,MIN,OTT,h,Alex Stalock,W,38,37,60:00:00,,,,
1853,1/25/18,MIN,PIT,@,Devan Dubnyk,L,21,17,30:55:00,,,,
295,1/30/18,MIN,CBJ,@,Devan Dubnyk,W,30,28,65:00:00,,,,
1198,2/2/18,MIN,VEG,h,Devan Dubnyk,W,24,22,59:56:00,,,,
791,2/3/18,MIN,DAL,@,Alex Stalock,L,29,25,40:00:00,,,,
2025,2/6/18,MIN,STL,@,Devan Dubnyk,W,37,35,60:00:00,,,,
1200,2/8/18,MIN,ARI,h,Devan Dubnyk,O,40,36,63:55:00,,,,
1202,2/10/18,MIN,CHI,h,Devan Dubnyk,W,44,44,60:00:00,,,,
1204,2/13/18,MIN,NYR,h,Devan Dubnyk,W,34,32,59:56:00,,,,
1206,2/15/18,MIN,WSH,h,Devan Dubnyk,L,26,22,58:58:00,,,,
1208,2/17/18,MIN,ANA,h,Devan Dubnyk,O,31,29,64:59:00,,,,
1537,2/19/18,MIN,NYI,@,Devan Dubnyk,W,35,32,60:00:00,,,,
1455,2/22/18,MIN,NJD,@,Alex Stalock,W,40,38,60:00:00,,,,
1623,2/23/18,MIN,NYR,@,Devan Dubnyk,W,23,22,60:00:00,,,,
1210,2/25/18,MIN,SJS,h,Devan Dubnyk,W,28,26,64:32:00,,,,
1212,2/27/18,MIN,STL,h,Devan Dubnyk,W,25,22,59:57:00,,,,
65,3/1/18,MIN,ARI,@,Alex Stalock,L,24,20,57:35:00,,,,
227,3/2/18,MIN,COL,@,Devan Dubnyk,L,17,12,30:39:00,,,,
1214,3/4/18,MIN,DET,h,Devan Dubnyk,W,29,28,59:43:00,,,,
1216,3/6/18,MIN,CAR,h,Devan Dubnyk,W,31,29,60:00:00,,,,
2201,3/9/18,MIN,VAN,@,Devan Dubnyk,W,32,30,59:29:00,,,,
971,3/10/18,MIN,EDM,@,Devan Dubnyk,L,27,24,59:44:00,,,,
1218,3/13/18,MIN,COL,h,Devan Dubnyk,L,22,17,59:53:00,,,,
2283,3/16/18,MIN,VEG,@,Alex Stalock,W,28,26,60:00:00,,,,
75,3/17/18,MIN,ARI,@,Devan Dubnyk,W,31,30,59:50:00,,,,
1220,3/19/18,MIN,LAK,h,Devan Dubnyk,O,30,26,64:13:00,,,,
1222,3/24/18,MIN,NSH,h,Devan Dubnyk,W,20,19,60:00:00,,,,
1224,3/25/18,MIN,BOS,h,Alex Stalock,O,28,26,60:28:00,,,,
1387,3/27/18,MIN,NSH,@,Devan Dubnyk,O,29,28,65:00:00,,,,
1226,3/29/18,MIN,DAL,h,Devan Dubnyk,W,31,29,60:00:00,,,,
819,3/31/18,MIN,DAL,@,Devan Dubnyk,L,35,32,58:38:00,,,,
1228,4/2/18,MIN,EDM,h,Devan Dubnyk,W,22,22,60:00:00,,,,
161,4/4/18,MIN,ANA,@,Devan Dubnyk,L,29,27,59:50:00,,,,
1145,4/5/18,MIN,LAK,@,Alex Stalock,O,28,23,59:46:00,,,,
1967,4/7/18,MIN,SJS,@,Devan Dubnyk,W,30,27,60:00:00,,,,
411,10/5/17,MTL,BUF,@,Carey Price,W,45,43,65:00:00,,,,
2297,10/7/17,MTL,WSH,@,Al Montoya,,9,7,39:52:00,,,,
1561,10/8/17,MTL,NYR,@,Carey Price,L,25,23,57:33:00,,,,
1230,10/10/17,MTL,CHI,h,Carey Price,L,25,22,57:31:00,,,,
1232,10/14/17,MTL,TOR,h,Carey Price,O,22,18,60:45:00,,,,
1895,10/17/17,MTL,SJS,@,Carey Price,L,34,30,59:25:00,,,,
1075,10/18/17,MTL,LAK,@,Al Montoya,L,42,37,59:43:00,,,,
93,10/20/17,MTL,ANA,@,Carey Price,L,45,39,60:00:00,,,,
1234,10/24/17,MTL,FLA,h,Carey Price,W,27,26,59:56:00,,,,
1236,10/26/17,MTL,LAK,h,Carey Price,L,28,24,60:00:00,,,,
1238,10/28/17,MTL,NYR,h,Carey Price,W,26,22,60:00:00,,,,
1655,10/30/17,MTL,OTT,@,Al Montoya,W,28,25,59:49:00,,,,
1159,11/2/17,MTL,MIN,@,Carey Price,L,26,21,59:45:00,,,,
2391,11/4/17,MTL,WPG,@,Al Montoya,W,23,19,63:07:00,,,,
671,11/5/17,MTL,CHI,@,Charlie Lindgren,W,38,38,60:00:00,,,,
1240,11/7/17,MTL,VEG,h,Charlie Lindgren,W,31,29,60:00:00,,,,
1242,11/9/17,MTL,MIN,h,Charlie Lindgren,L,34,32,58:10:00,,,,
1244,11/11/17,MTL,BUF,h,Charlie Lindgren,W,35,34,63:08:00,,,,
1246,11/14/17,MTL,CBJ,h,Charlie Lindgren,O,25,23,61:09:00,,,,
1248,11/16/17,MTL,ARI,h,Charlie Lindgren,L,32,27,58:23:00,,,,
1250,11/18/17,MTL,TOR,h,Charlie Lindgren,L,27,22,48:59:00,,,,
757,11/21/17,MTL,DAL,@,Charlie Lindgren,L,28,26,59:13:00,,,,
1331,11/22/17,MTL,NSH,@,Antti Niemi,O,33,31,64:06:00,,,,
1252,11/25/17,MTL,BUF,h,Carey Price,W,36,36,60:00:00,,,,
1254,11/27/17,MTL,CBJ,h,Carey Price,W,38,37,60:00:00,,,,
1256,11/29/17,MTL,OTT,h,Carey Price,W,28,27,60:00:00,,,,
845,11/30/17,MTL,DET,@,Carey Price,W,31,28,59:56:00,,,,
1258,12/2/17,MTL,DET,h,Carey Price,W,23,22,60:00:00,,,,
1260,12/5/17,MTL,STL,h,Carey Price,L,30,26,59:01:00,,,,
1262,12/7/17,MTL,CGY,h,Carey Price,O,37,34,61:14:00,,,,
1264,12/9/17,MTL,EDM,h,Antti Niemi,,26,24,37:28:00,,,,
1266,12/14/17,MTL,NJD,h,Carey Price,W,32,31,61:49:00,,,,
1671,12/16/17,MTL,OTT,@,Carey Price,L,37,35,57:28:00,,,,
2167,12/19/17,MTL,VAN,@,Carey Price,W,39,34,60:00:00,,,,
531,12/22/17,MTL,CGY,@,Carey Price,W,23,21,60:00:00,,,,
937,12/23/17,MTL,EDM,@,Antti Niemi,L,34,31,59:23:00,,,,
605,12/27/17,MTL,CAR,@,Carey Price,L,35,33,59:44:00,,,,
2087,12/28/17,MTL,TBL,@,Carey Price,L,34,31,57:26:00,,,,
1021,12/30/17,MTL,FLA,@,Carey Price,L,33,31,57:36:00,,,,
1268,1/2/18,MTL,SJS,h,Carey Price,L,33,29,60:00:00,,,,
1270,1/4/18,MTL,TBL,h,Carey Price,W,45,44,64:58:00,,,,
1272,1/7/18,MTL,VAN,h,Carey Price,W,36,34,60:00:00,,,,
1274,1/13/18,MTL,BOS,h,Carey Price,O,32,29,65:00:00,,,,
1276,1/15/18,MTL,NYI,h,Carey Price,O,24,19,61:15:00,,,,
375,1/17/18,MTL,BOS,@,Carey Price,L,31,28,59:41:00,,,,
2345,1/19/18,MTL,WSH,@,Antti Niemi,W,26,24,59:57:00,,,,
1278,1/20/18,MTL,BOS,h,Carey Price,L,30,27,58:56:00,,,,
1280,1/23/18,MTL,COL,h,Carey Price,W,22,20,59:54:00,,,,
1282,1/25/18,MTL,CAR,h,Carey Price,L,29,23,58:03:00,,,,
2023,1/30/18,MTL,STL,@,Carey Price,L,30,28,57:48:00,,,,
619,2/1/18,MTL,CAR,@,Carey Price,L,30,28,60:00:00,,,,
1284,2/3/18,MTL,ANA,h,Antti Niemi,W,45,43,59:58:00,,,,
1286,2/4/18,MTL,OTT,h,Carey Price,W,26,25,59:58:00,,,,
1777,2/8/18,MTL,PHI,@,Carey Price,L,27,23,58:44:00,,,,
1288,2/10/18,MTL,NSH,h,Carey Price,O,32,30,64:17:00,,,,
219,2/14/18,MTL,COL,@,Antti Niemi,L,25,23,57:25:00,,,,
55,2/15/18,MTL,ARI,@,Carey Price,L,21,16,60:00:00,,,,
2269,2/17/18,MTL,VEG,@,Carey Price,L,28,25,50:09:00,,,,
1781,2/20/18,MTL,PHI,@,Carey Price,O,33,30,61:26:00,,,,
1290,2/22/18,MTL,NYR,h,Antti Niemi,W,32,31,60:00:00,,,,
1292,2/24/18,MTL,TBL,h,Antti Niemi,O,39,36,64:38:00,,,,
1294,2/26/18,MTL,PHI,h,Charlie Lindgren,O,33,33,65:00:00,,,,
1296,2/28/18,MTL,NYI,h,Antti Niemi,W,28,27,59:56:00,,,,
1539,3/2/18,MTL,NYI,@,Charlie Lindgren,W,35,32,59:58:00,,,,
393,3/3/18,MTL,BOS,@,Antti Niemi,O,50,48,62:06:00,,,,
1461,3/6/18,MTL,NJD,@,Charlie Lindgren,L,33,27,59:04:00,,,,
1047,3/8/18,MTL,FLA,@,Charlie Lindgren,L,32,27,59:54:00,,,,
2115,3/10/18,MTL,TBL,@,Antti Niemi,O,34,32,64:41:00,,,,
317,3/12/18,MTL,CBJ,@,Charlie Lindgren,L,25,20,60:00:00,,,,
1298,3/13/18,MTL,DAL,h,Antti Niemi,W,38,36,60:00:00,,,,
1300,3/15/18,MTL,PIT,h,Antti Niemi,L,38,34,58:04:00,,,,
1302,3/19/18,MTL,FLA,h,Antti Niemi,L,40,38,57:42:00,,,,
1875,3/21/18,MTL,PIT,@,Carey Price,L,39,34,60:00:00,,,,
487,3/23/18,MTL,BUF,@,Antti Niemi,W,35,35,60:00:00,,,,
1304,3/24/18,MTL,WSH,h,Carey Price,L,30,24,58:15:00,,,,
1306,3/26/18,MTL,DET,h,Carey Price,W,28,26,58:55:00,,,,
1881,3/31/18,MTL,PIT,@,Antti Niemi,L,33,28,60:00:00,,,,
1308,4/1/18,MTL,NJD,h,Carey Price,L,32,30,59:13:00,,,,
1310,4/3/18,MTL,WPG,h,Carey Price,O,32,27,62:46:00,,,,
899,4/5/18,MTL,DET,@,Antti Niemi,W,26,23,60:00:00,,,,
1394,10/7/17,NJD,COL,h,Cory Schneider,W,41,40,60:00:00,,,,
413,10/9/17,NJD,BUF,@,Cory Schneider,W,25,23,60:00:00,,,,
1396,10/13/17,NJD,WSH,h,Cory Schneider,L,28,23,60:00:00,,,,
1565,10/14/17,NJD,NYR,@,Keith Kinkaid,W,31,29,60:00:00,,,,
1398,10/17/17,NJD,TBL,h,Cory Schneider,W,37,33,64:58:00,,,,
1647,10/19/17,NJD,OTT,@,Cory Schneider,,24,20,40:00:00,,,,
1400,10/20/17,NJD,SJS,h,Keith Kinkaid,L,33,30,59:46:00,,,,
1402,10/27/17,NJD,OTT,h,Keith Kinkaid,W,27,23,65:00:00,,,,
1404,10/28/17,NJD,ARI,h,Cory Schneider,W,37,34,60:00:00,,,,
2145,11/1/17,NJD,VAN,@,Cory Schneider,W,37,37,59:46:00,,,,
917,11/3/17,NJD,EDM,@,Cory Schneider,L,41,36,59:58:00,,,,
507,11/5/17,NJD,CGY,@,Keith Kinkaid,O,34,30,65:00:00,,,,
